timestamp,F,P,H,heat_demand,heat_satisfaction,PHR,eta_e,eta_h,profit,revenue_elec,revenue_heat,fuel_cost,boiler_fuel,SMP
0,128.0576927459932,16.851206203507463,86.0,86.0,1.0,0.19594425818031933,0.13159073728536094,0.6715723058557984,-9977193.587613963,1733.6520942168477,3870000.0,13848927.23970818,0.0,102.88
1,96.78779102894835,13.131215102107383,65.0,65.0,1.0,0.20201869387857513,0.13567016007401136,0.6715723058557984,-7540825.792301865,1386.6563147825395,2925000.0,10467212.448616648,0.0,105.6
2,92.32066221222765,12.525159020471657,62.0,62.0,1.0,0.20201869387857513,0.13567016007401136,0.6715723058557984,-7192787.678811009,1322.656792561807,2789999.9999999995,9984110.33560357,0.0,105.6
3,92.32066221222765,12.190082427763462,62.0,62.0,1.0,0.1966142327058623,0.13204067362234448,0.6715723058557984,-7192852.562898675,1257.7727048966342,2789999.9999999995,9984110.33560357,0.0,103.18
4,92.32066221222765,12.190082427763462,62.0,62.0,1.0,0.1966142327058623,0.13204067362234448,0.6715723058557984,-7192852.562898675,1257.7727048966342,2789999.9999999995,9984110.33560357,0.0,103.18
5,95.29874809004144,12.583310893175188,64.0,64.0,1.0,0.1966142327058623,0.1320406736223445,0.6715723058557984,-7424880.064927665,1298.346017957816,2880000.0,10306178.410945622,0.0,103.18
6,102.74396278457594,14.033287303555356,69.0,69.0,1.0,0.20338097541384575,0.13658503062587782,0.6715723058557984,-8004858.123856239,1490.4754445106144,3105000.0,11111348.59930075,0.0,106.21
7,126.5686498070863,17.327246394446693,85.0,85.0,1.0,0.2038499575817258,0.1368999860617663,0.6715723058557984,-9861049.236475859,1843.965561297017,3825000.0,13687893.202037156,0.0,106.42
8,178.68515266882773,24.837180644111132,120.00000000000001,120.0,1.0,0.20697650536759274,0.1389996889676893,0.6715723058557984,-13921406.575705992,2677.9448170480623,5400000.000000001,19324084.52052304,0.0,107.82
9,186.1303673633622,27.20084597994255,125.0,125.0,1.0,0.2176067678395404,0.14613867884782752,0.6715723058557984,-14501192.43763775,3062.2712404219324,5625000.0,20129254.70887817,0.0,112.58
10,183.1522814855484,26.916711699773394,123.0,123.0,1.0,0.2188350544697024,0.14696356213229728,0.6715723058557984,-14269141.545941524,3045.087594595364,5535000.0,19807186.63353612,0.0,113.13
11,186.1303673633622,27.602830695268295,125.0,125.0,1.0,0.22082264556214637,0.1482983732653483,0.6715723058557984,-14501107.434122296,3147.274755874491,5625000.0,20129254.70887817,0.0,114.02
12,183.1522814855484,27.062297164173874,123.0,123.0,1.0,0.2200186761314949,0.14775844966096816,0.6715723058557984,-14269110.73284044,3075.900695680002,5535000.0,19807186.63353612,0.0,113.66
13,181.6632385466415,26.84227848804238,122.0,122.0,1.0,0.2200186761314949,0.14775844966096816,0.6715723058557984,-14153101.702492142,3050.8933729508967,5490000.0,19646152.595865093,0.0,113.66
14,172.72898091320013,25.51698529492254,116.0,116.0,1.0,0.21997401116312537,0.14772845390516923,0.6715723058557984,-13457048.619630028,2899.7502089149975,5220000.0,18679948.36983894,0.0,113.64
15,168.26185209647943,25.303735277612628,113.0,113.0,1.0,0.22392686086382857,0.15038307829337189,0.6715723058557984,-13108925.952737475,2920.304088389273,5085000.0,18196846.256825864,0.0,115.41
16,168.26185209647943,25.27092885834521,113.0,113.0,1.0,0.22363653856942664,0.15018810588067905,0.6715723058557984,-13108933.024147075,2913.232678790036,5085000.0,18196846.256825864,0.0,115.28
17,169.75089503538632,25.553121170447092,114.0,114.0,1.0,0.22415018570567624,0.15053305707236642,0.6715723058557984,-13224928.653470492,2951.641026398344,5130000.0,18357880.29449689,0.0,115.51
18,169.75089503538632,25.39782107542624,114.0,114.0,1.0,0.22278790417040562,0.14961818652049996,0.6715723058557984,-13224962.084855324,2918.209641566475,5130000.0,18357880.29449689,0.0,114.9
19,168.26185209647943,25.07913748416646,113.0,113.0,1.0,0.2219392697713846,0.14904826716032085,0.6715723058557984,-13108974.194001177,2872.0628246867427,5085000.0,18196846.256825864,0.0,114.52
20,165.28376621866565,24.258465271458356,111.00000000000001,111.0,1.0,0.21854473217530046,0.14676858971960444,0.6715723058557984,-12877036.97490814,2741.2065756747943,4995000.000000001,17874778.181483816,0.0,113.0
21,168.26185209647943,24.69555473580895,113.0,113.0,1.0,0.21854473217530046,0.14676858971960444,0.6715723058557984,-13109055.659140717,2790.5976851464115,5085000.0,18196846.256825864,0.0,113.0
22,162.30568034085184,23.307751003342364,109.0,109.0,1.0,0.21383257801231526,0.14360403748282047,0.6715723058557984,-12645125.509633001,2584.5965087606346,4905000.0,17552710.10614176,0.0,110.89
23,148.90429389068976,20.697650536759273,100.0,100.0,1.0,0.20697650536759274,0.1389996889676893,0.6715723058557984,-11601172.14642166,2231.6206808733846,4500000.0,16103403.767102534,0.0,107.82
24,119.1234351125518,16.55812042940742,80.0,80.0,1.0,0.20697650536759277,0.1389996889676893,0.6715723058557984,-9280937.717137327,1785.296544698708,3600000.0,12882723.013682026,0.0,107.82
25,96.78779102894835,13.330085873772708,65.0,65.0,1.0,0.2050782442118878,0.13772486934623604,0.6715723058557984,-7540786.52933073,1425.9192859174666,2925000.0,10467212.448616648,0.0,106.97
26,99.76587690676214,13.651962052214111,67.0,67.0,1.0,0.20376062764498673,0.1368399945501685,0.6715723058557984,-7772828.228235586,1452.2957231145372,3015000.0,10789280.5239587,0.0,106.38
27,98.27683396785524,13.392191554233737,66.0,66.0,1.0,0.2029119932459657,0.13627007518998938,0.6715723058557984,-7656826.913982923,1419.572304748776,2970000.0,10628246.486287672,0.0,106.0
28,98.27683396785524,13.255114766307655,66.0,66.0,1.0,0.20083507221678265,0.1348752725453405,0.6715723058557984,-7656853.7713791765,1392.714908495945,2970000.0,10628246.486287672,0.0,105.07
29,98.27683396785524,13.255114766307655,66.0,66.0,1.0,0.20083507221678265,0.1348752725453405,0.6715723058557984,-7656853.7713791765,1392.714908495945,2970000.0,10628246.486287672,0.0,105.07
30,104.23300572348283,14.11785946310626,70.0,70.0,1.0,0.2016837066158037,0.13544519190551965,0.6715723058557984,-8120893.9086913895,1488.728280384555,3150000.0,11272382.636971774,0.0,105.45
31,119.1234351125518,16.345515179968466,80.0,80.0,1.0,0.20431893974960583,0.13721494149765473,0.6715723058557984,-9280980.091398386,1742.9222836400374,3600000.0,12882723.013682026,0.0,106.63
32,129.54673568490009,17.7990628717046,87.0,87.0,1.0,0.204586929559823,0.13739491603244813,0.6715723058557984,-10093061.227417652,1900.0499615544659,3915000.0,14009961.277379205,0.0,106.75
33,125.0796068681794,17.34663194877587,84.0,84.0,1.0,0.20650752319971272,0.13868473353180086,0.6715723058557984,-9744992.493302122,1866.6710640077713,3780000.0,13526859.16436613,0.0,107.61
34,126.5686498070863,17.378499445650725,85.0,85.0,1.0,0.20445293465471442,0.13730492876505143,0.6715723058557984,-9861039.089931298,1854.1121058564759,3825000.0,13687893.202037156,0.0,106.69
35,125.0796068681794,17.417917238293633,84.0,84.0,1.0,0.20735615759873371,0.13925465289197994,0.6715723058557984,-9744978.203483567,1880.9608825633293,3780000.0,13526859.16436613,0.0,107.99
36,120.61247805145871,16.739771897709492,81.0,81.0,1.0,0.20666385058900608,0.138789718677097,0.6715723058557984,-9396954.512715109,1802.5386379453582,3645000.0,13043757.051353054,0.0,107.68
37,122.1015209903656,16.917135529048085,82.0,82.0,1.0,0.20630653084204983,0.1385497526307058,0.6715723058557984,-9512972.158611994,1818.93041208325,3690000.0,13204791.089024078,0.0,107.52
38,123.5905639292725,17.61464504953402,83.0,83.0,1.0,0.21222463915101228,0.14252419027406008,0.6715723058557984,-9628884.521249996,1940.605445107163,3735000.0,13365825.126695104,0.0,110.17
39,123.5905639292725,17.7759079178322,83.0,83.0,1.0,0.21416756527508674,0.14382900565131224,0.6715723058557984,-9628851.289879907,1973.8368151960876,3735000.0,13365825.126695104,0.0,111.04
40,122.1015209903656,17.58188425329177,82.0,82.0,1.0,0.21441322260111914,0.14399398230820618,0.6715723058557984,-9512836.862589326,1954.22643475338,3690000.0,13204791.089024078,0.0,111.15
41,123.5905639292725,17.91307403569502,83.0,83.0,1.0,0.21582016910475926,0.14493884861587153,0.6715723058557984,-9628822.803279394,2002.3234157099891,3735000.0,13365825.126695104,0.0,111.78
42,125.0796068681794,18.128894204799778,84.0,84.0,1.0,0.21582016910475926,0.14493884861587153,0.6715723058557984,-9744832.716571918,2026.4477942125193,3780000.0,13526859.16436613,0.0,111.78
43,116.14534923473802,16.96287628888568,78.0,78.0,1.0,0.21747277293443182,0.14604869158043082,0.6715723058557984,-9048746.275499953,1908.6628400254167,3510000.0,12560654.938339978,0.0,112.52
44,119.1234351125518,17.397821834754545,80.0,80.0,1.0,0.21747277293443182,0.14604869158043085,0.6715723058557984,-9280765.41076918,1957.6029128465814,3600000.0,12882723.013682026,0.0,112.52
45,116.14534923473802,16.96287628888568,78.0,78.0,1.0,0.21747277293443182,0.14604869158043082,0.6715723058557984,-9048746.275499953,1908.6628400254167,3510000.0,12560654.938339978,0.0,112.52
46,119.1234351125518,17.094100049841753,80.0,80.0,1.0,0.21367625062302192,0.14349905233752433,0.6715723058557984,-9280828.645514503,1894.368167523463,3600000.0,12882723.013682026,0.0,110.82
47,117.63439217364491,16.67929744665075,79.0,79.0,1.0,0.21113034742595888,0.14178929425698703,0.6715723058557984,-9164859.590667054,1829.3853439486545,3555000.0,12721688.976011002,0.0,109.68
48,93.80970515113455,13.047961517180182,63.0,63.0,1.0,0.2071105002727013,0.13908967623508597,0.6715723058557984,-7308736.759186123,1407.614088473398,2835000.0,10145144.373274596,0.0,107.88
49,96.78779102894835,13.27202141489232,65.0,65.0,1.0,0.20418494484449723,0.13712495423025803,0.6715723058557984,-7540798.049294462,1414.3993221850744,2925000.0,10467212.448616648,0.0,106.57
50,82.07625,11.100830827648123,55.12013646849697,46.0,1.0,0.20139338432140175,0.13525021949282676,0.6715723058557984,-6394642.851914869,1169.1395027679002,2480406.1410823637,8876218.1325,0.0,105.32
51,82.07625,11.100830827648123,55.12013646849697,45.0,1.0,0.20139338432140175,0.13525021949282676,0.6715723058557984,-6394642.851914869,1169.1395027679002,2480406.1410823637,8876218.1325,0.0,105.32
52,82.07625,10.988812596237153,55.12013646849697,37.0,1.0,0.19936112826058824,0.13388541260397682,0.6715723058557984,-6394664.649494464,1147.3419231731211,2480406.1410823637,8876218.1325,0.0,104.41
53,82.07625,10.988812596237153,55.12013646849697,39.0,1.0,0.19936112826058824,0.13388541260397682,0.6715723058557984,-6394664.649494464,1147.3419231731211,2480406.1410823637,8876218.1325,0.0,104.41
54,82.07625,10.988812596237153,55.12013646849697,47.0,1.0,0.19936112826058824,0.13388541260397682,0.6715723058557984,-6394664.649494464,1147.3419231731211,2480406.1410823637,8876218.1325,0.0,104.41
55,83.38640457878627,11.164223182592941,56.0,56.0,1.0,0.19936112826058824,0.13388541260397682,0.6715723058557984,-6496740.453034924,1165.656542494529,2520000.0,9017906.10957742,0.0,104.41
56,86.36449045660007,11.562945439114118,58.0,58.0,1.0,0.19936112826058824,0.13388541260397682,0.6715723058557984,-6728766.897786173,1207.287133297905,2610000.0,9339974.18491947,0.0,104.41
57,119.1234351125518,15.830974744351508,80.0,80.0,1.0,0.19788718430439384,0.13289555266261313,0.6715723058557984,-9281080.5500523,1642.463629726469,3600000.0,12882723.013682026,0.0,103.75
58,132.5248215627139,17.611959403091053,89.0,89.0,1.0,0.19788718430439384,0.13289555266261313,0.6715723058557984,-10325202.111933187,1827.2407880706967,4005000.0,14332029.352721257,0.0,103.75
59,141.45907919615527,19.359381212271295,95.0,95.0,1.0,0.20378296012917152,0.13685499242806795,0.6715723058557984,-11021173.934180234,2059.6445671735432,4275000.0,15298233.578747408,0.0,106.39
60,138.4809933183415,18.914430713487658,93.00000000000001,93.0,1.0,0.20338097541384575,0.13658503062587785,0.6715723058557984,-10789156.601719279,2008.901686079524,4185000.0000000005,14976165.503405359,0.0,106.21
61,144.43716507396908,19.805939649916233,97.00000000000001,97.0,1.0,0.20418494484449723,0.13712495423025803,0.6715723058557984,-11253190.935100969,2110.718988491573,4365000.000000001,15620301.65408946,0.0,106.57
62,139.97003625724838,19.3592258429388,94.0,94.0,1.0,0.20594921109509365,0.13830978658431461,0.6715723058557984,-10905121.134589884,2078.4064864979096,4230000.0,15137199.541076383,0.0,107.36
63,141.45907919615527,19.739145105833206,95.0,95.0,1.0,0.20778047479824427,0.1395396125720695,0.6715723058557984,-11021098.198029859,2135.3807175490365,4275000.0,15298233.578747408,0.0,108.18
64,136.99195037943457,19.419882786098214,92.0,92.0,1.0,0.2110856824575893,0.1417592985011881,0.6715723058557984,-10673001.881388009,2129.58434632353,4139999.9999999995,14815131.465734331,0.0,109.66
65,138.4809933183415,20.129429515559742,93.00000000000001,93.0,1.0,0.21644547866193267,0.14535878919705617,0.6715723058557984,-10788909.799533844,2255.7038715136246,4185000.0000000005,14976165.503405359,0.0,112.06
66,131.035778623807,19.114020914930894,88.00000000000001,88.0,1.0,0.21720478312421468,0.14586871704563747,0.6715723058557984,-10208846.899099395,2148.4159508382327,3960000.0000000005,14170995.315050233,0.0,112.4
67,107.21109160129663,15.743260410928148,72.0,72.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8352670.93672437,1779.775589455427,3240000.0,11594450.712313825,0.0,113.05
68,105.72204866238972,15.524604016331923,71.0,71.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8236661.618158753,1755.0564840463237,3195000.0,11433416.6746428,0.0,113.05
69,105.72204866238972,15.524604016331923,71.0,71.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8236661.618158753,1755.0564840463237,3195000.0,11433416.6746428,0.0,113.05
70,104.23300572348283,15.3059476217357,70.0,70.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8120652.299593136,1730.3373786372208,3150000.0,11272382.636971774,0.0,113.05
71,104.23300572348283,14.88699021842953,70.0,70.0,1.0,0.21267128883470757,0.14282414783204908,0.6715723058557984,-8120739.559861366,1643.0771104080673,3150000.0,11272382.636971774,0.0,110.37
72,90.83161927332075,12.85715468841916,61.0,61.0,1.0,0.2107730276790026,0.14154932821059582,0.6715723058557984,-7076668.182351071,1408.1155814756662,2745000.0,9823076.297932547,0.0,109.52
73,92.32066221222765,12.627620457911355,62.0,62.0,1.0,0.20367129770824768,0.13678000303857069,0.6715723058557984,-7192767.514444077,1342.8211594942936,2789999.9999999995,9984110.33560357,0.0,106.34
74,82.07625,11.036820409698997,55.12013646849697,52.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
75,82.07625,11.036820409698997,55.12013646849697,41.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
76,82.07625,11.036820409698997,55.12013646849697,38.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
77,82.07625,11.036820409698997,55.12013646849697,39.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
78,82.07625,11.036820409698997,55.12013646849697,41.0,1.0,0.20023209514379403,0.13447032984205537,0.6715723058557984,-6394655.3326387,1156.6587789364548,2480406.1410823637,8876218.1325,0.0,104.8
79,82.07625,11.326098260046011,55.12013646849697,53.0,1.0,0.20548022892721357,0.13799483114842614,0.6715723058557984,-6394598.399989072,1213.59142856393,2480406.1410823637,8876218.1325,0.0,107.15
80,105.72204866238972,15.323232006437907,71.0,71.0,1.0,0.21582016910475926,0.14493884861587153,0.6715723058557984,-8236703.84376912,1712.8308736796293,3195000.0,11433416.6746428,0.0,111.78
81,123.5905639292725,17.911220439507684,83.0,83.0,1.0,0.2157978366205745,0.14492385073797207,0.6715723058557984,-9628823.18958658,2001.9371085237738,3735000.0,13365825.126695104,0.0,111.77
82,141.45907919615527,20.793573346616835,95.0,95.0,1.0,0.21887971943807194,0.1469935578880962,0.6715723058557984,-11020880.785923239,2352.792824169695,4275000.0,15298233.578747408,0.0,113.15
